mal_id,name,name_kanji,nicknames,favorites,about,image_url
100,"Kentread","",nil,3995,"Role: Cosmic Warrior
Species: Horned demon-kin
Personality: stoic, analytical, and highly reserved
Aesthetic Colors: matte grey and safety orange

Appearance & Gear:
This subject is a horned demon-kin presenting as a cosmic warrior. They wear an oversized patchwork hoodie and high-top sneakers in a color palette of matte grey and safety orange. They are equipped with feathered wings made of pure blue light and carry an energy glaive that crackles with electricity as their signature prop. 

Abilities & Aesthetic:
They possess the ability to channel cosmic solar flares into concentrated beams. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Kentread/225/320
101,"Luxweaver","",nil,3906,"Role: Underworld Bounty Hunter
Species: Bio-engineered beast
Personality: hyper-energetic, cheerful, and loud
Aesthetic Colors: emerald green and brass gold

Appearance & Gear:
This subject is a bio-engineered beast presenting as a underworld bounty hunter. They wear a weathered trenchcoat over leather harness in a color palette of emerald green and brass gold. They are equipped with a holographic projector badge on their lapel and carry a set of throwing daggers that hover in mid-air as their signature prop. 

Abilities & Aesthetic:
They possess the ability to summon spectral avian creatures to scout and attack. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Luxweaver/225/320
102,"Gigarider","",nil,520,"Role: Abyssal Diver
Species: Reptilian humanoid
Personality: quiet, mysterious, and wise
Aesthetic Colors: silver and electric blue

Appearance & Gear:
This subject is a reptilian humanoid presenting as a abyssal diver. They wear an oversized patchwork hoodie and high-top sneakers in a color palette of silver and electric blue. They are equipped with a ticking brass pocket watch hanging from a chain and carry a steam-powered long rifle with copper dials as their signature prop. 

Abilities & Aesthetic:
They possess the ability to manipulate local gravity fields to float and throw objects. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Gigarider/225/320
103,"Novasmith the Frost-Bite","",nil,1727,"Role: Cosmic Warrior
Species: Ghostly apparition
Personality: hyper-energetic, cheerful, and loud
Aesthetic Colors: cobalt blue and neon cyan

Appearance & Gear:
This subject is a ghostly apparition presenting as a cosmic warrior. They wear a classic double-breasted formal suit in a color palette of cobalt blue and neon cyan. They are equipped with a spiked collar and fingerless gloves and carry dual customized blaster pistols as their signature prop. 

Abilities & Aesthetic:
They possess the ability to summon spectral avian creatures to scout and attack. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/NovasmiththeFrost-Bite/225/320
104,"Jadeforge the Chrono-Keeper","",nil,333,"Role: Cosmic Warrior
Species: Horned demon-kin
Personality: silent, disciplined, and brave
Aesthetic Colors: neon violet and deep black

Appearance & Gear:
This subject is a horned demon-kin presenting as a cosmic warrior. They wear a fitted school uniform blazer with custom badges in a color palette of neon violet and deep black. They are equipped with a holographic projector badge on their lapel and carry dual customized blaster pistols as their signature prop. 

Abilities & Aesthetic:
They possess the ability to channel cosmic solar flares into concentrated beams. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/JadeforgetheChrono-Keeper/225/320
105,"Joltwing","",nil,3081,"Role: Abyssal Diver
Species: Plant-based dryad
Personality: stoic, analytical, and highly reserved
Aesthetic Colors: sand yellow and copper bronze

Appearance & Gear:
This subject is a plant-based dryad presenting as a abyssal diver. They wear a sleek stealth bodysuit made of matte fiber in a color palette of sand yellow and copper bronze. They are equipped with feathered wings made of pure blue light and carry a floating metallic grimoire bound in iron as their signature prop. 

Abilities & Aesthetic:
They possess the ability to conjure barriers made of solid light. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Joltwing/225/320
106,"Lyrabinder","",nil,2728,"Role: Drift Racer
Species: Slime entity
Personality: quiet, mysterious, and wise
Aesthetic Colors: matte grey and safety orange

Appearance & Gear:
This subject is a slime entity presenting as a drift racer. They wear a weathered trenchcoat over leather harness in a color palette of matte grey and safety orange. They are equipped with feathered wings made of pure blue light and carry a whip made of plasma energy as their signature prop. 

Abilities & Aesthetic:
They possess the ability to conjure barriers made of solid light. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Lyrabinder/225/320
107,"Frostshaper","",nil,3192,"Role: Cybernetic Infiltrator
Species: Deep-sea siren
Personality: hyper-energetic, cheerful, and loud
Aesthetic Colors: matte grey and safety orange

Appearance & Gear:
This subject is a deep-sea siren presenting as a cybernetic infiltrator. They wear a classic double-breasted formal suit in a color palette of matte grey and safety orange. They are equipped with a cracked white porcelain mask with red accents and carry an energy glaive that crackles with electricity as their signature prop. 

Abilities & Aesthetic:
They possess the ability to manipulate local gravity fields to float and throw objects. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Frostshaper/225/320
108,"Aerogaze","",nil,4584,"Role: Sentient Hologram
Species: Human-Cyborg hybrid
Personality: stoic, analytical, and highly reserved
Aesthetic Colors: cobalt blue and neon cyan

Appearance & Gear:
This subject is a human-cyborg hybrid presenting as a sentient hologram. They wear fluid silk robes showing ancient patterns in a color palette of cobalt blue and neon cyan. They are equipped with a glowing reactor core embedded in their chest and carry dual customized blaster pistols as their signature prop. 

Abilities & Aesthetic:
They possess the ability to manipulate steam and pressure, overloading mechanical devices. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/Aerogaze/225/320
109,"Pyrebreaker the Stormweaver","",nil,2010,"Role: Mecha Pilot
Species: Reptilian humanoid
Personality: quiet, mysterious, and wise
Aesthetic Colors: neon violet and deep black

Appearance & Gear:
This subject is a reptilian humanoid presenting as a mecha pilot. They wear a weathered trenchcoat over leather harness in a color palette of neon violet and deep black. They are equipped with a glowing reactor core embedded in their chest and carry dual customized blaster pistols as their signature prop. 

Abilities & Aesthetic:
They possess the ability to control electricity, channelled through their mechanical parts. Physically, they project a highly stylized visual presence that captures a clean, silhouette-driven design. This design stands out due to its balanced spacing and unique accessories, highlighting their overall silhouette and abilities.",https://picsum.photos/seed/PyrebreakertheStormweaver/225/320
